locationID,streetName,streetNumber,streetDirection,beatOfOccurence
170,63RD ST,4048,W,813
171,DEVON AVE,2625,W,2413
172,ORLEANS ST,860,N,1823
173,BELMONT AVE,800,W,1924
174,CONGRESS PKWY,4336,W,1131
175,AUGUSTA BLVD,3512,W,1121
176,MONTROSE AVE,2521,W,1911
177,DEVON AVE,7201,W,1611
178,ARCHER AVE,2144,S,914
179,87TH ST,112,W,622
180,HOXIE AVE,10746,S,434
181,OAKLEY BLVD,453,N,1221
182,85TH ST,1400,W,614
183,ST LOUIS AVE,2600,S,1032
184,CICERO AVE,4301,N,1722
185,HALSTED ST,9600,S,2223
186,53RD ST,1530,E,234
187,WESTERN AVE,1616,N,1434
188,COTTAGE GROVE AVE,8101,S,631
189,64TH ST,3800,W,823
190,HALSTED ST,2119,S,1235
191,OGDEN AVE,4000,W,1013
192,DIVISION ST,3200,W,1422
193,COLUMBUS AVE,3600,W,834
194,SAWYER AVE,5511,S,822
195,HARLEM AVE,5599,N,1612
196,LAFAYETTE AVE,7500,S,623
197,64TH ST,1600,W,725
198,WOODLAWN AVE,5200,S,233
199,59TH ST,1234,W,713
200,IRVING PARK RD,4853,W,1634
201,LINCOLN AVE,2170,N,1812
202,LAKE SHORE DR NB,699,S,114
203,ONTARIO ST,150,W,1832
204,69TH ST,2243,E,331
205,CALIFORNIA AVE,5932,S,824
206,OGDEN AVE,3158,W,1022
207,COTTAGE GROVE AVE,6699,S,321
208,MARYLAND AVE,8146,S,631
209,LA SALLE DR,1602,N,1814
210,MILWAUKEE AVE,5940,N,1622
211,AVENUE J,11500,S,433
212,STATE ST,750,N,1832
213,LINCOLN AVE,3100,N,1932
214,40TH PL,1060,E,214
215,103RD ST,630,W,2232
216,ELLIS AVE,13100,S,533
217,NARRAGANSETT AVE,2544,N,2512
218,ONTARIO ST,444,E,1834
219,MICHIGAN AVE,500,N,1834
220,MARQUETTE AVE,8754,S,423
221,67TH ST,1640,E,331
222,PARKSIDE AVE,5475,N,1622
223,FULLERTON AVE,6620,W,2512
224,SACRAMENTO BLVD,500,S,1134
225,51ST PL,2128,W,932
226,TOUHY AVE,2520,W,2411
227,NORTH AVE,4015,W,2534
228,CICERO AVE,731,S,1131
229,76TH ST,1330,W,612
230,55TH ST,2400,W,923
231,ROOSEVELT RD,3204,W,1134
232,DR MARTIN LUTHER KING JR DR,7301,S,323
233,WESTERN AVE,5959,N,2012
234,DR MARTIN LUTHER KING JR DR,6300,S,312
235,CLARK ST,2800,N,1934
236,KEDZIE AVE,4203,N,1724
237,23RD ST,2520,W,1034
238,TRIPP AVE,5709,S,813
239,WESTERN AVE,4357,N,1911
240,NELSON ST,950,W,1933
241,FAIRBANKS CT,605,N,1834
242,CLARK ST,6210,N,2433
243,WESTERN AVE,2200,N,1431
244,MASON AVE,1258,N,2531
245,MADISON ST,4528,W,1113
246,LAKE SHORE DR SB,3100,S,211
247,HARRISON ST,43,W,123
248,CHICAGO SKYWAY IB,6849,S,322
249,KILPATRICK AVE,2205,N,2522
250,ELSTON AVE,4545,N,1722
251,HAYES DR,1929,E,331
252,22ND PL,2800,W,1033
253,CICERO AVE,3833,N,1731
254,CICERO AVE,1,S,1113
255,WESTERN AVE,5500,S,824
256,CENTRAL AVE,3501,N,1633
257,PAULINA ST,1814,S,1234
258,BELMONT AVE,3700,W,1732
259,CHICAGO AVE,5510,W,1524
260,RANDOLPH ST,78,E,111
261,LELAND AVE,3643,W,1723
262,MONTROSE AVE,5910,W,1622
263,CICERO AVE,7651,S,833
264,WABANSIA AVE,4330,W,2534
265,NORTH AVE,4650,W,2533
266,RACINE AVE,1800,S,1233
267,PULASKI RD,5001,N,1712
268,PITNEY CT,3030,S,913
269,IRVING PARK RD,3332,W,1724
270,ADDISON ST,4923,W,1634
271,CENTRAL AVE,6102,S,812
272,CUMBERLAND AVE,5400,N,1614
273,PULASKI RD,4200,N,1722
274,HALSTED ST,9508,S,2223
275,HONORE ST,6009,S,714
276,PULASKI RD,2555,N,2524
277,ANTHONY AVE,8000,S,411
278,NORTH WATER ST,301,E,1834
279,DIVISION ST,4358,W,2534
280,LINDER AVE,3216,N,1633
281,GRAND AVE,4401,W,2533
282,MONROE ST,4947,W,1533
283,GRAND AVE,2200,W,1221
284,ELSTON AVE,1177,N,1213
285,46TH PL,515,E,221
286,DEARBORN ST,241,N,111
287,63RD ST,806,W,712
288,HALSTED ST,9858,S,2232
289,HALSTED ST,1014,N,1822
290,HARLEM AVE,5200,N,1613
291,LECLAIRE AVE,4700,S,814
292,PERSHING RD,1220,W,912
293,SOUTH SHORE DR,7500,S,421
294,59TH ST,2400,W,824
295,68TH PL,3834,W,833
296,FOSTER AVE,6000,W,1622
297,40TH ST,957,E,214
298,KOSTNER AVE,4437,N,1722
299,BELMONT AVE,5129,W,2521
300,103RD ST,3700,W,2211
301,KEELER AVE,4153,N,1722
302,ESSEX AVE,8245,S,423
303,LAKE SHORE DR W,1424,S,132
304,LAKE ST,2927,W,1222
305,CUMBERLAND AVE,5625,N,1614
306,DIVERSEY AVE,5959,W,2514
307,34TH ST,1835,W,912
308,LARAMIE AVE,1150,N,1524
309,87TH ST,112,W,622
310,CAMPBELL AVE,1444,N,1423
311,CLINTON ST,1358,S,124
312,FULLERTON AVE,3731,W,2525
313,90TH ST,1411,W,2222
314,PULASKI RD,1400,N,2534
315,CALIFORNIA AVE,6449,N,2412
316,WESTERN AVE,7104,S,832
317,BESSIE COLEMAN DR,170,N,1654
318,BROADWAY,2906,N,1934
319,ASHLAND AVE,600,S,1231
320,AUGUSTA BLVD,2915,W,1211
321,STONY ISLAND AVE,7424,S,324
322,BELMONT AVE,8600,W,1631
323,79TH ST,4740,W,834
324,69TH ST,2200,W,832
325,PULASKI RD,5901,S,822
326,DIVISION ST,4753,W,1111
327,AUSTIN BLVD,667,S,1513
328,SAWYER AVE,3759,N,1733
329,CICERO AVE,6659,S,833
330,87TH ST,3698,W,834
331,69TH ST,1730,W,725
332,63RD ST,1332,E,314
333,SCHOOL ST,1806,W,1922
334,55TH ST,1766,E,234
335,43RD ST,4254,W,815
336,ELIZABETH ST,727,N,1215
337,MICHIGAN AVE,425,N,1834
338,OCTAVIA AVE,5720,N,1612
339,CLARK ST,1900,N,1814
340,HALSTED ST,6645,S,723
341,LAKE SHORE DR,3100,N,1934
342,ELSTON AVE,4908,N,1712
343,HALSTED ST,9500,S,2223
344,43RD ST,852,E,214
345,71ST ST,399,W,731
346,HARLEM AVE,5301,S,811
347,TOUHY AVE,2411,W,2411
348,PULASKI RD,5204,S,815
349,CALIFORNIA AVE,1158,S,1135
350,MONROE ST,100,W,122
351,LORON AVE,6700,N,1621
352,GRAND AVE,5097,W,2533
353,OHARE ST,10000,W,1651
354,WESTERN AVE,6101,N,2413
355,CLARK ST,628,N,1832
356,LUNT AVE,1204,W,2423
357,130TH ST,247,E,533
358,CICERO AVE,5500,S,813
359,CARROLL AVE,1619,W,1215
360,59TH ST,4729,W,813
361,COLUMBUS AVE,2533,W,835
362,CENTRAL AVE,300,N,1512
363,119TH ST,2574,W,2212
364,63RD ST,1400,W,713
365,FRANKLIN ST,400,S,122
366,MICHIGAN AVE,835,N,1833
367,78TH ST,2402,E,421
368,KIMBALL AVE,1600,N,1422
369,JEFFERSON ST,1000,S,124
370,INDIANAPOLIS AVE,10527,S,432
371,103RD ST,2550,W,2211
372,LAWRENCE AVE,4803,W,1623
373,LOWER COLUMBUS DR,198,N,114
374,PULASKI RD,4100,S,815
375,PETERSON AVE,4032,W,1711
376,LOGAN BLVD,2310,W,1432
377,BURNHAM AVE,8123,S,422
378,ELK GROVE AVE,1402,N,1424
379,FULLERTON AVE,6155,W,2512
380,CLYBOURN AVE,2746,N,1931
381,HARRISON ST,3813,W,1133
382,GRAND AVE,5958,W,2515
383,KEDZIE AVE,4301,S,922
384,59TH ST,1432,W,713
385,WESTERN AVE,2200,S,1034
386,MONTROSE AVE,1159,W,1915
387,STONY ISLAND AVE,7605,S,411
388,SUPERIOR ST,850,W,1214
389,31ST ST,4055,W,1031
390,LAKE ST,3622,W,1123
391,WESTERN AVE,5999,N,2012
392,LAWRENCE AVE,4401,W,1722
393,78TH ST,817,W,621
394,ST LOUIS AVE,4000,N,1723
395,PULASKI RD,460,N,1111
396,ASHLAND AVE,1903,S,1235
397,MADISON ST,4802,W,1533
398,CALIFORNIA AVE,2829,S,1034
399,HARLEM AVE,6033,N,1612
400,87TH ST,1921,W,2221
401,MARINE DR,4140,N,1915
402,LA SALLE DR,1600,N,1814
403,104TH ST,793,E,512
404,53RD ST,1214,E,234
405,87TH ST,1554,E,412
406,MORGAN ST,6100,S,712
407,ASHLAND AVE,2157,S,1235
408,24TH ST,2400,W,1034
409,ELSTON AVE,4340,N,1722
410,LANGLEY AVE,6700,S,321
411,HOMAN AVE,732,S,1133
412,HAYES DR,1681,E,331
413,HENDERSON ST,1499,W,1922
414,PULASKI RD,2454,S,1013
