crashID,firstCrashType,crashType,cost,numUnits
242e0c05662f9ec1f0507eca9c2c22a15ecbc75c272626cc68dbe8f31d922e4694fb6b259efae4b7845803b66b88e760447e5fc1797fe4232a79b25c1bfda18f,REAR END,NO INJURY / DRIVE AWAY,4810,2
f0af6e8620e782941993e2cf4b133699df32da61a2b46de1206de9cf80f783a08657c21807fd3b67987a634196ee8c352c84ed563e55cc0e89ed5ab48e12fe6a,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,4771,2
1e98124971c2152c5ec9ef11f13aaa9bda5523d31abe20b448ac9a75089a04b812655b73f77404d21e328679a102773a670554fb3668e7f52cddba682e4d2dab,REAR END,INJURY AND / OR TOW DUE TO CRASH,2315,3
eff0e766acf1e05cce6d919baefbca7688237c2b0b2639267877b5dd5372f6114b359876719cedee10e34aaeb3528aa0ef30ee4ac581285e872fe3d229db8659,TURNING,NO INJURY / DRIVE AWAY,343,2
5491faad00ae7be8bdf95dcc90cc450840ac199f73d5cc08a677284d23bbb3865496f6d6e4428b579a453b48ba4ef07f7e4c8ffb8ac28deeb25171c6bee37cf2,REAR END,INJURY AND / OR TOW DUE TO CRASH,3081,2
c91efa98d640d59f3d4e5054b78df0eb02761bef715f92ddfccc830eb6778a7fef1b70e85b1d0d5ba1d153554bbcb4e437f29fa047b2693b81df630b9f3e2439,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,3993,2
10c88f80ed3e9f6cebb1dddab3450f888e487c4dd2b18fded6d795bc182829236a36267d14b5b58720fcd7cd777f112e15d0902b27026544bf91baa56c5520da,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,3316,1
473683cf566aa84751f9f960ac7c38fc6a0b5235d913d2fb5e419a1dd7eb5402caf8731a0514c08daf61fe18c84c7740a3e9a486e54779f94a286f4540b152fb,REAR END,NO INJURY / DRIVE AWAY,2599,2
8c283a6d660e211e90cf8c7f19e325997f4b698c6107d30c4b06f5aa64fc1f0711a0968c3eb0989d0c2ab5eb706868459eb20b4dd059a0b83650d6216d870a65,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,2131,2
54118a77b7cb57c8bc684994b96ad2d5b08d8f6e0de58589b51edb7f1a08f42120d7216bf3adc85baf10e0ccf42ca1ed6f65c28bf1879e0eb933664908614435,TURNING,INJURY AND / OR TOW DUE TO CRASH,4550,2
20ad97fd23c223d5731f219e2607d94f86c43ad946f01e0dbfc9a4ab2b709f555aa1806ed91e855608e3cc1b0d124a7bfe79140cadf181b768a29d652de159a5,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,147,2
6ad5c506ec09d362d5160ada6586f591ce2cb564a774453d4140f2ec85006d486dc575c8208f47e327bc814dab14aa6d87c32a85c05f4ec872d8b77eb7690c65,ANGLE,NO INJURY / DRIVE AWAY,1515,2
b37bdaf8721d4a1d17063596d75ba5ea85ccae5ed01f017eff552654c8a33395d04053e7c58e5e4fa39684378f4a51acb172620323df9ea74723b4de245e7429,ANGLE,INJURY AND / OR TOW DUE TO CRASH,4040,2
dcaa1135f913ed94e6b414aba96d44a73cb37a86571de152578b82aa1ba649480cf8b84d756b13f12f4608723e0412bc2bd87762d6ebe78f1a2a609be9567179,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,4000,2
66802c5af1da8936f38c2bd36963b38e24c5fcb34bdc30f7c8aa396b0b5c2717b06fd035ad00510d365c01253fb0a2238c4d253480848c044454258c3004ef9b,REAR END,NO INJURY / DRIVE AWAY,2274,2
8af136b1ff2154c6a41578d8c95c4c9a6ea1c550c89143fc47829acf5ab5109d54c5f19caf4f3e1a662c7b3219cc1f0190c40d6859f46bb1c2f7f67b59a25d7c,REAR END,NO INJURY / DRIVE AWAY,1002,2
b30f1640799f305df2b084597d055386b77fc167da424547b28dc0185d061b3da06596544b179035124290f0aed108128a2ffcde7015728657d278224b0b8d10,TURNING,NO INJURY / DRIVE AWAY,2744,2
89606980e651a95f00aa195bd26e1d08b593546dad7f5ad1ef81a4179ccd282be0af19b91677d50cf7d0a810de8214c0f38902d52fc74d930c0437311b84873d,REAR END,NO INJURY / DRIVE AWAY,3048,2
9f4d1a3144160c4874aa799c4f9558312778b3ac781fce0c7cdcf62622221f0ca45048dd5ed766c784d5cc1bfd48f00f715beba406a3a3925c514e94860bcac8,ANGLE,INJURY AND / OR TOW DUE TO CRASH,3309,3
9b0fb9f26a6cac72aeea96f23ceb0f1ae9c457aee5c6d8e5d338b87f65a1d98f62dfc073db39af202ee706c14c85eb4fa615e2f93d3c86c12aa3fd44d927f038,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,3766,2
f0e9753e6b3bc4cb7cf4fcdd60a3a6f79de6290829467ed02980cfcf8769c2c33f36e7e7728476dff651141a7e8bddac3cdddd4d012e3ade890761ba3b8c3faf,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,2352,2
668222c751196164a4b75128979cd9a863f8a3f4a25134231383df5eb1716a1a3c530e817c5d44e5502644d4650ce07c0e09a3d37ca9a0823e199b59777b9356,FIXED OBJECT,INJURY AND / OR TOW DUE TO CRASH,4338,1
