crashUnitID,crashID,vehicleID,damageID,crashDate,unitNumber,unitType,numPassengers,vehicleMake,vehicleModel,licencePlateState,vehicleYear,vehicleDefect,vehicleType,vehicleUse,travelDirection,maneuver,occupantCount
1615124,a972768492feb3179cf245d2f09659455d4a686914d3c611910031cfcada8b1fa2ddd0361b1e3640fc0ca021996ad775ba7bd1930ab7a1dcd70dfbece1da2d52,1536911,535,07/01/2023 01:57:00 AM,1,DRIVER,,MERCEDES-BENZ,C300,IL,2017,UNKNOWN,PASSENGER,PERSONAL,E,TURNING RIGHT,1
1615125,a972768492feb3179cf245d2f09659455d4a686914d3c611910031cfcada8b1fa2ddd0361b1e3640fc0ca021996ad775ba7bd1930ab7a1dcd70dfbece1da2d52,1536919,535,07/01/2023 01:57:00 AM,2,DRIVER,,TOYOTA,CAMRY,IL,2017,NONE,PASSENGER,RIDESHARE SERVICE,E,STRAIGHT AHEAD,1
1615469,ffafda98d1742495f37cff083562663adab4ebb4308f73edb29a6c76eb04bc559f420a86b823f9f5a818c2cd716d0380f5dba6db80546c4c0ef33bced2e8df2d,1537259,842,07/10/2023 09:10:00 PM,1,DRIVER,,VOLKSWAGEN,TIGUAN,IL,2018,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,S,PASSING/OVERTAKING,1
1615470,ffafda98d1742495f37cff083562663adab4ebb4308f73edb29a6c76eb04bc559f420a86b823f9f5a818c2cd716d0380f5dba6db80546c4c0ef33bced2e8df2d,1537260,842,07/10/2023 09:10:00 PM,2,DRIVER,2,NISSAN,JUKE,IL,2015,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,S,STRAIGHT AHEAD,3
1616199,9089a83ecf08eb9e16c30d1c03f880cdaddcaa261261d424b74745cfa3ea5c6b2f1ca8070a65f80fb78c0bf3d01e2592e84573fc34cf7c4dbf8641fd662bdf13,1537966,830,07/12/2023 08:00:00 AM,1,PARKED,,FORD,ECONOLINE E550,IL,,UNKNOWN,OTHER,AMBULANCE,UNKNOWN,PARKED,0
1616807,8517cc8b5ef219429ad6a6eb97c89ecfbfe4e96a82ae21602e166f548ff4817502331aea2df53bb6e9b83b6d32aba60a7cf44365d0add8a030c73eabe897f14c,1538531,606,07/13/2023 06:45:00 AM,1,DRIVER,,LEXUS,LX,IL,2021,NONE,PASSENGER,PERSONAL,S,LEAVING TRAFFIC LANE TO PARK,1
1616808,8517cc8b5ef219429ad6a6eb97c89ecfbfe4e96a82ae21602e166f548ff4817502331aea2df53bb6e9b83b6d32aba60a7cf44365d0add8a030c73eabe897f14c,1538535,606,07/13/2023 06:45:00 AM,2,DRIVER,,AUDI,A4,IL,2006,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,1
1617642,5847431a09720ce6a1720e1fac8fdbd654ba8cbb3de23d7da064834c92a42765fa43e24f0c2ca74a94192ad0c228b40255777109d47bfaedfb3b46732558617d,1539318,674,07/14/2023 10:00:00 AM,1,DRIVER,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,S,STRAIGHT AHEAD,1
1617643,5847431a09720ce6a1720e1fac8fdbd654ba8cbb3de23d7da064834c92a42765fa43e24f0c2ca74a94192ad0c228b40255777109d47bfaedfb3b46732558617d,1539325,674,07/14/2023 10:00:00 AM,2,DRIVER,,VOLKSWAGEN,OTHER (EXPLAIN IN NARRATIVE),IL,2023,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,1
1617799,ce7db3d975ad0c1d8f0effe830f0456fefec9d9044d3034d1c583cbd9974c2b34c5e1e8140ae24acf878602adfabd3aa5706b51d5c4f336601248b2147fb2790,1539456,568,07/14/2023 01:40:00 PM,1,DRIVER,,JEEP,CHEROKEE,,,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,W,STRAIGHT AHEAD,1
